accepted_taxon_key,order_name,family_name,genus_name,species_name_provided,authority_name_provided,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
5139928,Lepidoptera,Lycaenidae,Cycnus,Panthiades phaleros,,Panthiades phaleros,Cycnus phaleros,99,SYNONYM,EXACT,SPECIES,London19Oct2023
1930422,Lepidoptera,Lycaenidae,Thecla,Rekoa marius,,Rekoa marius,Thecla marius,99,SYNONYM,EXACT,SPECIES,London19Oct2023
1928009,Lepidoptera,Lycaenidae,Rekoa,Rekoa meton,,Rekoa meton,Rekoa meton,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
4300406,Lepidoptera,Lycaenidae,Rekoa,Rekoa palegon,,Rekoa palegon,Rekoa palegon,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1929966,Lepidoptera,Lycaenidae,Thecla,Rekoa stagira,,Rekoa stagira,Thecla spurina,99,SYNONYM,EXACT,SPECIES,London19Oct2023
-1,NotAvail,NotAvail,NotAvail,Rekoa zebina,,Rekoa zebina,NotAvail,100,NotAvail,NONE,NotAvail,London19Oct2023
4300384,Lepidoptera,Lycaenidae,Strymon,Strymon albata,,Strymon albata,Strymon albata,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1925515,Lepidoptera,Lycaenidae,Strymon,Strymon alea,,Strymon alea,Strymon alea,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
10120854,Lepidoptera,Lycaenidae,Strymon,Strymon astiocha,,Strymon astiocha,Strymon astiocha,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
4300393,Lepidoptera,Lycaenidae,Strymon,Strymon bazochii,,Strymon bazochii,Strymon bazochii,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1930288,Lepidoptera,Lycaenidae,Thecla,Strymon bebrycia,,Strymon bebrycia,Thecla bebrycia,99,SYNONYM,EXACT,SPECIES,London19Oct2023
