accepted_taxon_key,order_name,family_name,genus_name,species_name_provided,authority_name_provided,search_species_name,gbif_species_name,confidence,status,match_type,rank,source,n_imgs
1862481,Lepidoptera,Sphingidae,Theretra,Theretra lucasii,,Theretra lucasii,Theretra rhesus,96,SYNONYM,FUZZY,SPECIES,London06October2023,262
1862475,Lepidoptera,Sphingidae,Theretra,Theretra nessus,"Drury, 1773",Theretra nessus,Theretra nessus,99,ACCEPTED,EXACT,SPECIES,London06October2023,765
1862449,Lepidoptera,Sphingidae,Theretra,Theretra oldenlandiae,,Theretra oldenlandiae,Theretra oldenlandiae,99,ACCEPTED,EXACT,SPECIES,London06October2023,565
1862516,Lepidoptera,Sphingidae,Theretra,Theretra silhetensis,,Theretra silhetensis,Theretra silhetensis,98,ACCEPTED,EXACT,SPECIES,London06October2023,398
1862467,Lepidoptera,Sphingidae,Theretra,Theretra suffusa,"Walker, 1856",Theretra suffusa,Theretra suffusa,99,ACCEPTED,EXACT,SPECIES,London06October2023,28
5123884,Lepidoptera,Sphingidae,Ambulyx,Ambulyx canescens,,Ambulyx canescens,Ambulyx canescens,99,ACCEPTED,EXACT,SPECIES,London06October2023,84
5123888,Lepidoptera,Sphingidae,Ambulyx,Ambulyx clavata,,Ambulyx clavata,Ambulyx clavata,99,ACCEPTED,EXACT,SPECIES,London06October2023,5
8810912,Lepidoptera,Sphingidae,Ambulyx,Ambulyx moorei,"Moore, 1858",Ambulyx moorei,Ambulyx moorei,98,ACCEPTED,EXACT,SPECIES,London06October2023,188
5123870,Lepidoptera,Sphingidae,Ambulyx,Ambulyx pryeri,,Ambulyx pryeri,Ambulyx pryeri,99,ACCEPTED,EXACT,SPECIES,London06October2023,27
5123707,Lepidoptera,Sphingidae,Amplypterus,Amplypterus panopus,,Amplypterus panopus,Amplypterus panopus,98,ACCEPTED,EXACT,SPECIES,London06October2023,229
1863431,Lepidoptera,Sphingidae,Cypa,Cypa decolor,"Walker, 1856",Cypa decolor,Cypa decolor,98,ACCEPTED,EXACT,SPECIES,London06October2023,18
1861975,Lepidoptera,Sphingidae,Daphnusa,Daphnusa ocellaris,"Walker, 1856",Daphnusa ocellaris,Daphnusa ocellaris,99,ACCEPTED,EXACT,SPECIES,London06October2023,144
1861721,Lepidoptera,Sphingidae,Marumba,Marumba dyras,,Marumba dyras,Marumba dyras,98,ACCEPTED,EXACT,SPECIES,London06October2023,272
1861488,Lepidoptera,Sphingidae,Acherontia,Acherontia lachesis,"Fabricius, 1798",Acherontia lachesis,Acherontia lachesis,99,ACCEPTED,EXACT,SPECIES,London06October2023,613
1861494,Lepidoptera,Sphingidae,Acherontia,Acherontia styx,"Westwood, 1847",Acherontia styx,Acherontia styx,99,ACCEPTED,EXACT,SPECIES,London06October2023,309
1861644,Lepidoptera,Sphingidae,Agrius,Agrius convolvuli,,Agrius convolvuli,Agrius convolvuli,99,ACCEPTED,EXACT,SPECIES,London06October2023,1000
1862008,Lepidoptera,Sphingidae,Meganoton,Meganoton nyctiphanes,"Walker, 1856",Meganoton nyctiphanes,Meganoton nyctiphanes,99,ACCEPTED,EXACT,SPECIES,London06October2023,107
10005133,Lepidoptera,Sphingidae,Notonagemia,Notonagemia analis,,Notonagemia analis,Notonagemia analis,98,DOUBTFUL,EXACT,SPECIES,London06October2023,89
